id,symbol,name,usd,usd_market_cap,usd_24h_vol,usd_24h_change,last_updated_at,rank,coinGecko_link
circuit,crct,Circuit,0,0,0,,2020/12/21,3062,https://www.coingecko.com/en/coins/circuit
ciredo,cir,Ciredo,0,0,0,-8,2020/12/31,3063,https://www.coingecko.com/en/coins/ciredo
cirquity,cirq,Cirquity,0,0,1,,2020/11/19,3064,https://www.coingecko.com/en/coins/cirquity
citadel,ctl,Citadel,0,0,0,-13,2020/12/30,3065,https://www.coingecko.com/en/coins/citadel
citios,r2r,CitiOS,0,0,1,,2020/12/31,3066,https://www.coingecko.com/en/coins/citios
city-coin,city,City Coin,0,0,58,4,2020/12/31,3067,https://www.coingecko.com/en/coins/city-coin
ciupek-capital-coin,ccc,Ciupek Capital Coin,0,0,2993,0,2020/12/31,3068,https://www.coingecko.com/en/coins/ciupek-capital-coin
civil,CVL,Civil,0,0,0,,2020/11/25,3069,https://www.coingecko.com/en/coins/civil
clams,clam,Clams,0,0,11,,2020/12/30,3070,https://www.coingecko.com/en/coins/clams
clap-clap-token,cct,Clap Clap Token,0,0,0,,2020/12/27,3071,https://www.coingecko.com/en/coins/clap-clap-token
classicbitcoin,cbtc,ClassicBitcoin,0,0,9,-40,2020/12/31,3072,https://www.coingecko.com/en/coins/classicbitcoin
clbcoin,clb,CLBcoin,0,0,1807,1,2020/12/31,3073,https://www.coingecko.com/en/coins/clbcoin
clear-coin,clr,Clear Coin,0,0,93,-5,2020/12/31,3074,https://www.coingecko.com/en/coins/clear-coin
clearpoll,poll,ClearPoll,0,0,0,0,2020/12/31,3075,https://www.coingecko.com/en/coins/clearpoll
clickgem-token,cgmt,ClickGem Token,0,0,0,,2020/11/5,3076,https://www.coingecko.com/en/coins/clickgem-token
cloud,cld,Cloud,0,0,104,,2020/12/25,3077,https://www.coingecko.com/en/coins/cloud
cloudbit-token,cdb,Cloudbit Token,0,0,62,,2020/11/2,3078,https://www.coingecko.com/en/coins/cloudbit-token
cloudbric,clbk,Cloudbric,0,0,2659,26,2020/12/31,3079,https://www.coingecko.com/en/coins/cloudbric
cloud-moolah,xmoo,Cloud Moolah,0,0,5147,0,2020/12/31,3080,https://www.coingecko.com/en/coins/cloud-moolah
clover,clv,Clover,0,0,46,2,2020/12/31,3081,https://www.coingecko.com/en/coins/clover
clp-token,clpc,CLP token,0,0,10,,2020/12/25,3082,https://www.coingecko.com/en/coins/clp-token
cmgcoin,cmg,CMGCoin,0,0,3526,0,2020/12/31,3083,https://www.coingecko.com/en/coins/cmgcoin
cmitcoin,cmit,CMITCOIN,0,0,0,,2020/12/29,3084,https://www.coingecko.com/en/coins/cmitcoin
cny-tether,cnyt,CNY Tether,0,0,185120167,0,2020/12/31,3085,https://www.coingecko.com/en/coins/cny-tether
coalculus,coal,Coalculus,0,0,2849,5,2020/12/31,3086,https://www.coingecko.com/en/coins/coalculus
cobak-token,cbk,Cobak Token,3,0,2624755,-5,2020/12/31,3087,https://www.coingecko.com/en/coins/cobak-token
cocktailbar,coc,cocktailbar.finance,2,0,97,0,2020/12/31,3088,https://www.coingecko.com/en/coins/cocktailbar
codemy,cod,Codemy,0,0,7,,2020/12/31,3089,https://www.coingecko.com/en/coins/codemy
codeo-token,codeo,CODEO TOKEN,0,0,0,19,2020/12/31,3090,https://www.coingecko.com/en/coins/codeo-token
codex,cdex,Codex,0,0,4722,1,2020/12/31,3091,https://www.coingecko.com/en/coins/codex
cofinex,cnx,Cofinex,0,0,13302,-19,2020/12/31,3092,https://www.coingecko.com/en/coins/cofinex
coic,coic,COIC Token,0,0,2,,2020/12/29,3093,https://www.coingecko.com/en/coins/coic
coin4trade,c4t,Coin4Trade,0,0,245,,2020/12/30,3094,https://www.coingecko.com/en/coins/coin4trade
coinall-token,CAC,CoinAll Token,0,0,1,,2020/12/28,3095,https://www.coingecko.com/en/coins/coinall-token
coinbene-future-token,cft,CoinBene Future Token,0,0,2155899,-1,2020/12/31,3096,https://www.coingecko.com/en/coins/coinbene-future-token
coinclaim,clm,CoinClaim,0,0,2547,3,2020/12/31,3097,https://www.coingecko.com/en/coins/coinclaim
coincome,cim,COINCOME,0,0,82,,2020/12/30,3098,https://www.coingecko.com/en/coins/coincome
coin-controller-cash,ccc,Coindom,0,0,307,0,2020/12/31,3099,https://www.coingecko.com/en/coins/coin-controller-cash
